Resolution,Noise Type,Image Name,PSNR,SSIM,Correlation
1024x1024,Gaussian,pexels-photo-1450082.png,29.41260279,0.334469411,-0.005845316
1024x1024,Gaussian,pexels-photo-1433052.png,27.66345014,0.534814387,-0.000757416
1024x1024,Gaussian,pexels-photo-1448136.png,28.94476621,0.308791513,-0.033838157
1024x1024,Gaussian,pexels-photo-1430677.png,27.50006573,0.434051516,-0.016170542
1024x1024,Gaussian,pexels-photo-1458377.png,27.36524943,0.456516538,-0.084246451
1024x1024,Gaussian,pexels-photo-1450372.png,27.48671155,0.49266329,0.023858992
1024x1024,Gaussian,pexels-photo-1459534.png,27.39551256,0.417830388,-0.052586696
1024x1024,Gaussian,pexels-photo-1459495.png,27.52023074,0.484802594,-0.159547735
1024x1024,Gaussian,pexels-photo-1470589.png,27.49272354,0.476043289,-0.043825495
1024x1024,Gaussian,pexels-photo-1461027.png,27.44560525,0.473179654,0.026045921
1024x1024,Gaussian,pexels-photo-1468379.png,27.53028465,0.45585813,0.057987817
1024x1024,Gaussian,pexels-photo-1462011.png,28.3152476,0.362060168,-0.073344714
1024x1024,Gaussian,pexels-photo-1463376.png,27.53116042,0.407723123,0.003449348
1024x1024,Gaussian,pexels-photo-1478685.png,27.40547305,0.421269769,0.037853352
1024x1024,Gaussian,pexels-photo-1480807.png,28.0616098,0.366093899,-0.121582502
1024x1024,Gaussian,pexels-photo-147640.png,27.6075567,0.392559588,-0.077903961
1024x1024,Gaussian,pexels-photo-1462892.png,27.32762256,0.382728122,-0.152841718
1024x1024,Gaussian,pexels-photo-1486902.png,27.52393329,0.434306585,-0.127169462
1024x1024,Gaussian,pexels-photo-1487010.png,27.35155851,0.398878483,-0.104005384
1024x1024,Gaussian,pexels-photo-1486974.png,27.32822861,0.401044457,0.09415967
1024x1024,Gaussian,pexels-photo-1535162.png,27.65923729,0.379337102,-0.104170601
1024x1024,Gaussian,pexels-photo-1496378.png,27.45194772,0.404713906,0.075070272
1024x1024,Gaussian,pexels-photo-1535288.png,27.9665111,0.37132952,0.035435118
1024x1024,Gaussian,pexels-photo-1525041.png,27.39617201,0.431972543,-0.086571086
1024x1024,Gaussian,pexels-photo-1542495.png,27.715843,0.378217199,0.097238404
1024x1024,Gaussian,pexels-photo-1539696.png,27.86076419,0.510084285,0.072245108
1024x1024,Gaussian,pexels-photo-1533483.png,27.57312276,0.390572176,0.084858448
1024x1024,Gaussian,pexels-photo-1545345.png,28.15134888,0.355741007,-0.086318191
1024x1024,Gaussian,pexels-photo-1545347.png,29.45024552,0.339362861,0.16053177
1024x1024,Gaussian,pexels-photo-1526246.png,27.61953483,0.384953874,0.151052341
1024x1024,Gaussian,pexels-photo-1525612.png,28.07038856,0.379826873,-0.239606773
1024x1024,Gaussian,pexels-photo-1526713.png,27.42066154,0.491072081,0.082676693
1024x1024,Gaussian,pexels-photo-1547813.png,27.56538085,0.399373917,-0.003688238
1024x1024,Gaussian,pexels-photo-1553406.png,27.4245198,0.490131507,-0.005468418
1024x1024,Gaussian,pexels-photo-154800.png,29.77834599,0.336024372,-0.163281908
1024x1024,Gaussian,pexels-photo-1557652.png,27.70180293,0.572566402,0.079832089
1024x1024,Gaussian,pexels-photo-1552212.png,27.44179629,0.408760044,-0.05604924
1024x1024,Gaussian,pexels-photo-1557238.png,28.3624036,0.360313124,0.080473825
1024x1024,Gaussian,pexels-photo-1559393.png,27.73729189,0.38282414,-0.034609986
1024x1024,Gaussian,pexels-photo-1559821.png,27.32031041,0.402480074,0.182940615
1024x1024,Gaussian,pexels-photo-1563256.png,28.67032829,0.344232319,0.028994613
1024x1024,Gaussian,pexels-photo-1563356.png,27.8311595,0.526215864,0.219550392
1024x1024,Gaussian,pexels-photo-1562058.png,28.89260933,0.351773726,-0.21588767
1024x1024,Gaussian,pexels-photo-1563277.png,27.41774333,0.390801743,-0.276317532
1024x1024,Gaussian,pexels-photo-1564655.png,28.32315646,0.363626959,0.001100138
1024x1024,Gaussian,pexels-photo-1559825.png,27.35678069,0.409721789,0.091026226
1024x1024,Gaussian,pexels-photo-1586298.png,27.63256328,0.433521105,-0.156146323
1024x1024,Gaussian,pexels-photo-1586795.png,27.30060771,0.412882924,0.096082158
1024x1024,Gaussian,pexels-photo-1578750.png,28.71850618,0.352897847,0.000427418
1024x1024,Gaussian,pexels-photo-1590549.png,28.42081182,0.364637605,0.031211562
1024x1024,Gaussian,pexels-photo-159884.png,27.27183219,0.443977615,0.084570792
1024x1024,Gaussian,pexels-photo-1598073.png,27.82924309,0.519049856,0.027823228
1024x1024,Gaussian,pexels-photo-1591447.png,27.61409092,0.500940897,0.083990534
1024x1024,Gaussian,pexels-photo-1619569.png,29.39255956,0.354390851,-0.092774935
1024x1024,Gaussian,pexels-photo-1612351.png,28.40755347,0.375542063,-0.275420061
1024x1024,Gaussian,pexels-photo-1591362.png,27.45736518,0.468378132,-0.066863338
1024x1024,Gaussian,pexels-photo-1590511.png,27.23406387,0.410709961,-0.124542549
1024x1024,Gaussian,pexels-photo-1591373.png,29.70185838,0.343650928,-0.007751206
1024x1024,Gaussian,pexels-photo-1604141.png,27.95178067,0.527712368,0.13397594
1024x1024,Gaussian,pexels-photo-1619317.png,27.59023189,0.408185526,0.067387184
1024x1024,Gaussian,pexels-photo-1631678.png,28.72074342,0.342054927,0.090861422
1024x1024,Gaussian,pexels-photo-1624360.png,27.27415587,0.404096975,-0.181223861
1024x1024,Gaussian,pexels-photo-164162.png,27.89577647,0.543500084,0.129306967
1024x1024,Gaussian,pexels-photo-1624504.png,27.3161637,0.40215538,0.055264163
1024x1024,Gaussian,pexels-photo-164041.png,29.31109029,0.355828347,0.164269322
